Position,Const,Created,Modified,Description,Name,Known For,Birth Date
134,nm0000421,2011-02-13,2011-02-13,,"Cuba Gooding Jr.","Jerry Maguire","January 2, 1968"
135,nm0000375,2012-04-28,2012-04-28,,"Robert Downey Jr.","Iron Man","April 4, 1965"
136,nm0000111,2011-02-16,2011-02-16,,"Matthew Broderick","The Producers","March 21, 1962"
137,nm0000641,2011-02-13,2011-02-13,,"Gary Sinise","Forrest Gump","March 17, 1955"
138,nm0000602,2010-10-11,2010-10-11,,"Robert Redford","The Natural","August 18, 1936"
139,nm0001492,2011-02-15,2011-02-15,,"Kyle MacLachlan","Twin Peaks","February 22, 1959"
140,nm0000342,2011-02-16,2011-02-16,,"James Cromwell","L.A. Confidential","January 27, 1940"
141,nm0268199,2010-10-10,2010-10-10,,"Colin Farrell","The Lobster","May 31, 1976"
142,nm0000662,2011-02-16,2011-02-16,,"Kiefer Sutherland","24","December 21, 1966"
143,nm0000018,2011-02-13,2011-02-13,,"Kirk Douglas","Ace in the Hole","December 9, 1916"
144,nm0001277,2010-10-20,2010-10-20,,"Scott Glenn","The Hunt for Red October","January 26, 1939"
145,nm0001326,2010-10-11,2010-10-11,,"Josh Hartnett","Lucky Number Slevin","July 21, 1978"
146,nm0000546,2011-02-13,2011-02-13,,"Matthew Modine","Full Metal Jacket","March 22, 1959"
147,nm0005212,2010-10-11,2010-10-11,,"Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","May 25, 1939"
148,nm0000160,2011-02-14,2011-02-14,,"Ethan Hawke","Training Day","November 6, 1970"
149,nm0000225,2010-10-11,2010-10-11,,"Christian Slater","Very Bad Things","August 18, 1969"
150,nm0001667,2010-10-11,2010-10-11,,"Jonathan Rhys Meyers","Den 12. mann","July 27, 1977"
151,nm0001029,2010-10-11,2010-10-11,,"Jim Caviezel","The Passion of the Christ","September 26, 1968"
152,nm0000483,2011-02-16,2011-02-16,,"Christopher Lambert","Highlander","March 29, 1957"
153,nm0089217,2010-10-11,2010-10-11,,"Orlando Bloom","The Lord of the Rings: The Fellowship of the Ring","January 13, 1977"
154,nm0749263,2010-10-11,2010-10-11,,"Mark Ruffalo","Spotlight","November 22, 1967"
155,nm0413168,2010-10-11,2010-10-11,,"Hugh Jackman","Les Misérables","October 12, 1968"
156,nm0000489,2011-02-16,2011-02-16,,"Christopher Lee","Star Wars: Episode II - Attack of the Clones","May 27, 1922"
157,nm0000297,2011-02-15,2011-02-15,,"Tom Berenger","Platoon","May 31, 1949"
158,nm0000619,2011-02-15,2011-02-15,,"Tim Roth","Rob Roy","May 14, 1961"
159,nm0001811,2011-02-15,2011-02-15,,"Peter Ustinov","Spartacus","April 16, 1921"
160,nm0001772,2011-02-16,2011-02-16,,"Patrick Stewart","Logan","July 13, 1940"
161,nm0000554,2011-02-16,2011-02-16,,"Sam Neill","Jurassic Park","September 14, 1947"
162,nm0001868,2010-10-11,2010-10-11,,"Michael York","Logan's Run","March 27, 1942"
163,nm0001133,2011-02-16,2011-02-16,,"Brian Dennehy","First Blood","July 9, 1938"
164,nm0001371,2011-02-13,2011-02-13,,"Tom Hulce","Amadeus","December 6, 1953"
165,nm0000369,2011-02-19,2011-02-19,,"Matt Dillon","There's Something About Mary","February 18, 1964"
166,nm0001016,2011-02-16,2011-02-16,,"David Carradine","Kill Bill: Vol. 2","December 8, 1936"
167,nm0641939,2011-02-19,2011-02-19,,"Ryan O'Neal","Love Story","April 20, 1941"
168,nm0000621,2011-02-16,2011-02-16,,"Kurt Russell","Escape from New York","March 17, 1951"
169,nm0000332,2011-02-19,2011-02-19,,"Don Cheadle","Crash","November 29, 1964"
170,nm0001173,2011-02-19,2011-02-19,,"Aaron Eckhart","The Dark Knight","March 12, 1968"
171,nm0000120,2010-10-11,2010-10-11,,"Jim Carrey","Ace Ventura: Pet Detective","January 17, 1962"
172,nm0908919,2011-02-14,2011-02-14,,"Eli Wallach","Il buono, il brutto, il cattivo","December 7, 1915"
173,nm0700856,2011-02-16,2011-02-16,,"James Purefoy","Rome","June 3, 1964"
174,nm0000592,2011-02-13,2011-02-13,,"Pete Postlethwaite","The Usual Suspects","February 7, 1946"
175,nm0000287,2011-02-13,2011-02-13,,"William Baldwin","Sliver","February 21, 1963"
176,nm0004051,2011-02-16,2011-02-16,,"Brian Cox","Succession","June 1, 1946"
177,nm0000255,2010-10-11,2010-10-11,,"Ben Affleck","Argo","August 15, 1972"
178,nm0386472,2010-10-10,2010-10-10,,"Emile Hirsch","Into the Wild","March 13, 1985"
179,nm0420955,2010-10-11,2010-10-11,,"Richard Jenkins","The Shape of Water","May 4, 1947"
180,nm0000704,2010-10-10,2010-10-10,,"Elijah Wood","The Lord of the Rings: The Fellowship of the Ring","January 28, 1981"
181,nm0000321,2010-10-11,2010-10-11,,"Gabriel Byrne","The Usual Suspects","May 12, 1950"
182,nm0000598,2011-02-13,2011-02-13,,"Dennis Quaid","Far from Heaven","April 9, 1954"
183,nm0000549,2011-02-16,2011-02-16,,"Roger Moore","Moonraker","October 14, 1927"
184,nm0213912,2011-02-13,2011-02-13,,"Jan Decleir","Karakter","February 14, 1946"
185,nm0000230,2011-02-16,2011-02-16,,"Sylvester Stallone","Rocky","July 6, 1946"
186,nm0000467,2011-02-16,2011-02-16,,"Don Johnson","Miami Vice","December 15, 1949"
187,nm0078517,2011-02-13,2011-02-13,,"Gene Bervoets","Spoorloos","March 26, 1956"
188,nm0001765,2011-02-16,2011-02-16,,"Harry Dean Stanton","Lucky","July 14, 1926"
189,nm0000606,2011-02-13,2011-02-13,,"Jean Reno","Léon","July 30, 1948"
190,nm0001806,2010-10-11,2010-10-11,,"John Turturro","Fading Gigolo","February 28, 1957"
191,nm0000090,2011-02-16,2011-02-16,,"Armin Mueller-Stahl","Eastern Promises","December 17, 1930"
192,nm0001725,2011-02-19,2011-02-19,,"Omar Sharif","Lawrence of Arabia","April 10, 1932"
193,nm0000221,2011-02-16,2011-02-16,,"Charlie Sheen","Two and a Half Men","September 3, 1965"
194,nm1219950,2011-02-15,2011-02-15,,"Eddie Murphy","Batman Begins",
195,nm0000314,2011-02-15,2011-02-15,,"Charles Bronson","Death Wish","November 3, 1921"
196,nm0001018,2011-02-19,2011-02-19,,"Keith Carradine","Nashville","August 8, 1949"
197,nm0000418,2011-02-16,2011-02-16,,"Danny Glover","Lethal Weapon","July 22, 1946"
198,nm0001096,2011-02-16,2011-02-16,,"Timothy Dalton","The Living Daylights","March 21, 1946"
199,nm0000681,2011-02-19,2011-02-19,,"Vince Vaughn","The Break-Up","March 28, 1970"
200,nm0005068,2011-04-02,2011-04-02,,"Vinnie Jones","Snatch","January 5, 1965"
201,nm0001993,2011-04-02,2011-04-02,,"Vincent Cassel","Black Swan","November 23, 1966"
202,nm0005458,2011-04-02,2011-04-02,,"Jason Statham","Crank","July 26, 1967"
203,nm0586568,2011-02-16,2011-02-16,,"Mads Mikkelsen","Hannibal","November 22, 1965"
204,nm0001579,2011-02-16,2011-02-16,,"Edward James Olmos","Battlestar Galactica","February 24, 1947"
205,nm0202966,2011-02-19,2011-02-19,,"Keith David","The Princess and the Frog","June 4, 1956"
206,nm0001101,2010-10-11,2010-10-11,,"Ted Danson","Cheers","December 29, 1947"
207,nm0003817,2011-02-16,2011-02-16,,"Michael Clarke Duncan","The Green Mile","December 10, 1957"
208,nm0000188,2011-02-14,2011-02-14,,"Steve Martin","Roxanne","August 14, 1945"
209,nm0001215,2011-02-15,2011-02-15,,"Albert Finney","Murder on the Orient Express","May 9, 1936"
210,nm0001812,2011-02-16,2011-02-16,,"Lee Van Cleef","Escape from New York","January 9, 1925"
211,nm0000156,2011-02-14,2011-02-14,,"Jeff Goldblum","Jurassic Park","October 22, 1952"
212,nm0001354,2011-02-16,2011-02-16,,"Ciarán Hinds","Belfast","February 9, 1953"
213,nm0001804,2011-02-16,2011-02-16,,"Stanley Tucci","Big Night","November 11, 1960"
214,nm0001556,2011-02-16,2011-02-16,,"David Morse","The Green Mile","October 11, 1953"
215,nm0000653,2011-02-16,2011-02-16,,"Brent Spiner","Star Trek: First Contact","February 2, 1949"
216,nm0004937,2011-02-14,2011-02-14,,"Jamie Foxx","Collateral","December 13, 1967"
217,nm0001311,2010-10-11,2010-10-11,,"Philip Baker Hall","Magnolia","September 10, 1931"
218,nm0000901,2011-02-16,2011-02-16,,"Jean-Paul Belmondo","Pierrot le fou","April 9, 1933"
219,nm0001295,2011-02-16,2011-02-16,,"Graham Greene","The Green Mile","June 22, 1952"
220,nm0001702,2011-02-15,2011-02-15,,"Roy Scheider","Jaws","November 10, 1932"
221,nm0000685,2011-02-15,2011-02-15,,"Jon Voight","Midnight Cowboy","December 29, 1938"
222,nm0001536,2011-12-17,2011-12-17,,"Toshirô Mifune","Yôjinbô","April 1, 1920"
223,nm0051509,2011-02-16,2011-02-16,,"Eric Bana","Dirty John","August 9, 1968"
224,nm0290556,2011-04-04,2011-04-04,,"James Franco","Spring Breakers","April 19, 1978"
225,nm0085312,2011-02-16,2011-02-16,,"Jack Black","School of Rock","August 28, 1969"
226,nm0000389,2011-02-16,2011-02-16,,"Emilio Estevez","The Way","May 12, 1962"
227,nm0000293,2011-02-16,2011-02-16,,"Sean Bean","The Lord of the Rings: The Fellowship of the Ring","April 17, 1959"
228,nm0000086,2011-02-19,2011-02-19,,"Louis de Funès","Les aventures de Rabbi Jacob","July 31, 1914"
229,nm0100186,2011-02-19,2011-02-19,,"Bourvil","The Longest Day","July 27, 1917"
230,nm0893341,2011-02-19,2011-02-19,,"Lino Ventura","L'armée des ombres","July 14, 1919"
231,nm0000493,2011-02-19,2011-02-19,,"Jack Lemmon","The Apartment","February 8, 1925"
232,nm0138770,2011-02-19,2011-02-19,,"Art Carney","Harry and Tonto","November 4, 1918"
233,nm0002075,2011-02-19,2011-02-19,,"Peter Finch","Network","September 28, 1916"
234,nm0590055,2011-02-19,2011-02-19,,"John Mills","Great Expectations","February 22, 1908"
235,nm0424565,2011-02-19,2011-02-19,,"Ben Johnson","The Last Picture Show","June 13, 1918"
236,nm0001297,2011-02-19,2011-02-19,,"Joel Grey","Cabaret","April 11, 1932"
237,nm0122675,2011-02-19,2011-02-19,,"George Burns","Oh, God!","January 20, 1896"
238,nm0002048,2011-02-19,2011-02-19,,"Melvyn Douglas","Being There","April 5, 1901"
239,nm0000459,2011-02-19,2011-02-19,,"Timothy Hutton","Ordinary People","August 16, 1960"
240,nm0000655,2011-04-02,2011-04-02,,"Eric Stoltz","Pulp Fiction","September 30"
241,nm0001283,2011-02-19,2011-02-19,,"Louis Gossett Jr.","An Officer and a Gentleman","May 27, 1936"
242,nm0000747,2011-02-19,2011-02-19,,"Don Ameche","Cocoon","May 31, 1908"
243,nm0001228,2011-02-19,2011-02-19,,"Peter Fonda","Easy Rider","February 23, 1940"
244,nm0000558,2011-04-02,2011-04-02,,"Leslie Nielsen","Airplane!","February 11, 1926"
245,nm0001172,2011-04-02,2011-04-02,,"Christopher Eccleston","Thor: The Dark World","February 16, 1964"
246,nm0001637,2011-04-02,2011-04-02,,"Vincent Price","The Abominable Dr. Phibes","May 27, 1911"
247,nm0859365,2011-02-16,2011-02-16,,"Philip Michael Thomas","Miami Vice","May 26, 1949"
248,nm0002077,2011-04-02,2011-04-02,,"Dexter Fletcher","Ghosted","January 31, 1966"
249,nm0000104,2012-06-20,2012-06-20,,"Antonio Banderas","The Mask of Zorro","August 10, 1960"
250,nm1055413,2012-06-20,2012-06-20,,"Michael Fassbender","Shame","April 2, 1977"
251,nm0331516,2012-06-20,2012-06-20,,"Ryan Gosling","Blue Valentine","November 12, 1980"
